utc_timestamp,cet_cest_timestamp,DE_50hertz_solar_generation_forecast,DE_amprion_solar_generation_forecast,DE_transnetbw_solar_generation_forecast
2012-01-01T00:00:00Z,2012-01-01T01:00:00+0100,0,0,0
2012-01-01T01:00:00Z,2012-01-01T02:00:00+0100,0,0,0
2012-01-01T02:00:00Z,2012-01-01T03:00:00+0100,0,0,0
2012-01-01T03:00:00Z,2012-01-01T04:00:00+0100,0,0,0
2012-01-01T04:00:00Z,2012-01-01T05:00:00+0100,0,0,0
2012-01-01T05:00:00Z,2012-01-01T06:00:00+0100,0,0,0
2012-01-01T06:00:00Z,2012-01-01T07:00:00+0100,0,0,1
2012-01-01T07:00:00Z,2012-01-01T08:00:00+0100,5,0,14
2012-01-01T08:00:00Z,2012-01-01T09:00:00+0100,31,6,68
2012-01-01T09:00:00Z,2012-01-01T10:00:00+0100,56,18,172
2012-01-01T10:00:00Z,2012-01-01T11:00:00+0100,71,64,238
2012-01-01T11:00:00Z,2012-01-01T12:00:00+0100,75,101,253
2012-01-01T12:00:00Z,2012-01-01T13:00:00+0100,66,104,232
2012-01-01T13:00:00Z,2012-01-01T14:00:00+0100,48,78,161
2012-01-01T14:00:00Z,2012-01-01T15:00:00+0100,21,39,54
2012-01-01T15:00:00Z,2012-01-01T16:00:00+0100,1,2,8
2012-01-01T16:00:00Z,2012-01-01T17:00:00+0100,0,0,0
2012-01-01T17:00:00Z,2012-01-01T18:00:00+0100,0,0,0
2012-01-01T18:00:00Z,2012-01-01T19:00:00+0100,0,0,0
2012-01-01T19:00:00Z,2012-01-01T20:00:00+0100,0,0,0
2012-01-01T20:00:00Z,2012-01-01T21:00:00+0100,0,0,0
2012-01-01T21:00:00Z,2012-01-01T22:00:00+0100,0,0,0
2012-01-01T22:00:00Z,2012-01-01T23:00:00+0100,0,0,0
2012-01-01T23:00:00Z,2012-01-02T00:00:00+0100,0,0,0
,,,,
2012-01-02T00:00:00Z,2012-01-02T01:00:00+0100,0,0,0
2012-01-02T01:00:00Z,2012-01-02T02:00:00+0100,0,0,0
2012-01-02T02:00:00Z,2012-01-02T03:00:00+0100,0,0,0
2012-01-02T03:00:00Z,2012-01-02T04:00:00+0100,0,0,0
2012-01-02T04:00:00Z,2012-01-02T05:00:00+0100,0,0,0
2012-01-02T05:00:00Z,2012-01-02T06:00:00+0100,0,0,0
2012-01-02T06:00:00Z,2012-01-02T07:00:00+0100,0,0,2
2012-01-02T07:00:00Z,2012-01-02T08:00:00+0100,6,3,15
2012-01-02T08:00:00Z,2012-01-02T09:00:00+0100,40,46,60
2012-01-02T09:00:00Z,2012-01-02T10:00:00+0100,78,116,131
2012-01-02T10:00:00Z,2012-01-02T11:00:00+0100,99,217,181
2012-01-02T11:00:00Z,2012-01-02T12:00:00+0100,95,286,192
2012-01-02T12:00:00Z,2012-01-02T13:00:00+0100,77,306,162
2012-01-02T13:00:00Z,2012-01-02T14:00:00+0100,51,250,96
2012-01-02T14:00:00Z,2012-01-02T15:00:00+0100,23,105,28
2012-01-02T15:00:00Z,2012-01-02T16:00:00+0100,1,11,6
2012-01-02T16:00:00Z,2012-01-02T17:00:00+0100,0,0,0
2012-01-02T17:00:00Z,2012-01-02T18:00:00+0100,0,0,0
2012-01-02T18:00:00Z,2012-01-02T19:00:00+0100,0,0,0
2012-01-02T19:00:00Z,2012-01-02T20:00:00+0100,0,0,0
2012-01-02T20:00:00Z,2012-01-02T21:00:00+0100,0,0,0
2012-01-02T21:00:00Z,2012-01-02T22:00:00+0100,0,0,0
2012-01-02T22:00:00Z,2012-01-02T23:00:00+0100,0,0,0
2012-01-02T23:00:00Z,2012-01-03T00:00:00+0100,0,0,0
2012-01-03T00:00:00Z,2012-01-03T01:00:00+0100,0,0,0
2012-01-03T01:00:00Z,2012-01-03T02:00:00+0100,0,0,0
2012-01-03T02:00:00Z,2012-01-03T03:00:00+0100,0,0,0
2012-01-03T03:00:00Z,2012-01-03T04:00:00+0100,0,0,0
2012-01-03T04:00:00Z,2012-01-03T05:00:00+0100,0,0,0
2012-01-03T05:00:00Z,2012-01-03T06:00:00+0100,0,0,0
2012-01-03T06:00:00Z,2012-01-03T07:00:00+0100,0,0,2
2012-01-03T07:00:00Z,2012-01-03T08:00:00+0100,31,12,47
2012-01-03T08:00:00Z,2012-01-03T09:00:00+0100,221,166,300
2012-01-03T09:00:00Z,2012-01-03T10:00:00+0100,451,390,754
2012-01-03T10:00:00Z,2012-01-03T11:00:00+0100,566,554,1059
2012-01-03T11:00:00Z,2012-01-03T12:00:00+0100,483,606,1015
2012-01-03T12:00:00Z,2012-01-03T13:00:00+0100,324,527,769
2012-01-03T13:00:00Z,2012-01-03T14:00:00+0100,157,365,416
2012-01-03T14:00:00Z,2012-01-03T15:00:00+0100,67,142,98
2012-01-03T15:00:00Z,2012-01-03T16:00:00+0100,3,16,11
2012-01-03T16:00:00Z,2012-01-03T17:00:00+0100,0,0,0
2012-01-03T17:00:00Z,2012-01-03T18:00:00+0100,0,0,0
2012-01-03T18:00:00Z,2012-01-03T19:00:00+0100,0,0,0
2012-01-03T19:00:00Z,2012-01-03T20:00:00+0100,0,0,0
2012-01-03T20:00:00Z,2012-01-03T21:00:00+0100,0,0,0
2012-01-03T21:00:00Z,2012-01-03T22:00:00+0100,0,0,0
2012-01-03T22:00:00Z,2012-01-03T23:00:00+0100,0,0,0
2012-01-03T23:00:00Z,2012-01-04T00:00:00+0100,0,0,0
2012-01-04T00:00:00Z,2012-01-04T01:00:00+0100,0,0,0
2012-01-04T01:00:00Z,2012-01-04T02:00:00+0100,0,0,0
2012-01-04T02:00:00Z,2012-01-04T03:00:00+0100,0,0,0
2012-01-04T03:00:00Z,2012-01-04T04:00:00+0100,0,0,0
2012-01-04T04:00:00Z,2012-01-04T05:00:00+0100,0,0,0
2012-01-04T05:00:00Z,2012-01-04T06:00:00+0100,0,0,0
2012-01-04T06:00:00Z,2012-01-04T07:00:00+0100,0,0,1
2012-01-04T07:00:00Z,2012-01-04T08:00:00+0100,30,7,16
2012-01-04T08:00:00Z,2012-01-04T09:00:00+0100,217,110,88
2012-01-04T09:00:00Z,2012-01-04T10:00:00+0100,422,322,256
2012-01-04T10:00:00Z,2012-01-04T11:00:00+0100,507,484,471
2012-01-04T11:00:00Z,2012-01-04T12:00:00+0100,488,622,583
2012-01-04T12:00:00Z,2012-01-04T13:00:00+0100,412,610,554
2012-01-04T13:00:00Z,2012-01-04T14:00:00+0100,281,439,366
2012-01-04T14:00:00Z,2012-01-04T15:00:00+0100,128,188,102
2012-01-04T15:00:00Z,2012-01-04T16:00:00+0100,7,22,11
2012-01-04T16:00:00Z,2012-01-04T17:00:00+0100,0,0,0
2012-01-04T17:00:00Z,2012-01-04T18:00:00+0100,0,0,0
2012-01-04T18:00:00Z,2012-01-04T19:00:00+0100,0,0,0
2012-01-04T19:00:00Z,2012-01-04T20:00:00+0100,0,0,0
2012-01-04T20:00:00Z,2012-01-04T21:00:00+0100,0,0,0
2012-01-04T21:00:00Z,2012-01-04T22:00:00+0100,0,0,0
2012-01-04T22:00:00Z,2012-01-04T23:00:00+0100,0,0,0
2012-01-04T23:00:00Z,2012-01-05T00:00:00+0100,0,0,0
2012-01-05T00:00:00Z,2012-01-05T01:00:00+0100,0,0,0
2012-01-05T01:00:00Z,2012-01-05T02:00:00+0100,0,0,0
2012-01-05T02:00:00Z,2012-01-05T03:00:00+0100,0,0,0
2012-01-05T03:00:00Z,2012-01-05T04:00:00+0100,0,0,0
2012-01-05T04:00:00Z,2012-01-05T05:00:00+0100,0,0,0
2012-01-05T05:00:00Z,2012-01-05T06:00:00+0100,0,0,0
2012-01-05T06:00:00Z,2012-01-05T07:00:00+0100,0,0,0
2012-01-05T07:00:00Z,2012-01-05T08:00:00+0100,7,0,2
2012-01-05T08:00:00Z,2012-01-05T09:00:00+0100,57,8,14
2012-01-05T09:00:00Z,2012-01-05T10:00:00+0100,103,39,36
2012-01-05T10:00:00Z,2012-01-05T11:00:00+0100,137,106,57
2012-01-05T11:00:00Z,2012-01-05T12:00:00+0100,159,134,70
2012-01-05T12:00:00Z,2012-01-05T13:00:00+0100,149,128,65
2012-01-05T13:00:00Z,2012-01-05T14:00:00+0100,114,97,45
2012-01-05T14:00:00Z,2012-01-05T15:00:00+0100,58,33,20
2012-01-05T15:00:00Z,2012-01-05T16:00:00+0100,3,2,4
2012-01-05T16:00:00Z,2012-01-05T17:00:00+0100,0,0,0
2012-01-05T17:00:00Z,2012-01-05T18:00:00+0100,0,0,0
2012-01-05T18:00:00Z,2012-01-05T19:00:00+0100,0,0,0
