DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulation
1,1,2012,0,1,0,0,1,0,,
1,1,2012,1,2,0,0,2,0,,
1,1,2012,2,3,0,0,3,0,,
1,1,2012,3,4,0,0,4,0,,
1,1,2012,4,5,0,0,5,0,,
1,1,2012,5,6,0,0,6,0,,
1,1,2012,6,7,0,0,7,0,,
1,1,2012,7,8,0,0,8,0,,
1,1,2012,8,9,0,0,9,0,,
1,1,2012,9,10,0,1,10,0,,
1,1,2012,10,11,0,9,11,0,,
1,1,2012,11,12,0,24,12,0,,
1,1,2012,12,13,0,26,13,0,,
1,1,2012,13,14,0,23,14,0,,
1,1,2012,14,15,0,9,15,0,,
1,1,2012,15,16,0,3,16,0,,
1,1,2012,16,17,0,0,17,0,,
1,1,2012,17,18,0,0,18,0,,
1,1,2012,18,19,0,0,19,0,,
1,1,2012,19,20,0,0,20,0,,
1,1,2012,20,21,0,0,21,0,,
1,1,2012,21,22,0,0,22,0,,
1,1,2012,22,23,0,0,23,0,,
1,1,2012,23,24,0,0,24,0,,
2,1,2012,0,1,0,0,1,0,1,
2,1,2012,1,2,0,0,2,0,2,
2,1,2012,2,3,0,0,3,0,3,
2,1,2012,3,4,0,0,4,0,4,
2,1,2012,4,5,0,0,5,0,5,
2,1,2012,5,6,0,0,6,0,6,
2,1,2012,6,7,0,0,7,0,7,
2,1,2012,7,8,0,0,8,0,8,
2,1,2012,8,9,0,0,9,0,9,
2,1,2012,9,10,0,9,10,0,10,
2,1,2012,10,11,0,31,11,0,11,
2,1,2012,11,12,0,33,12,0,12,
2,1,2012,12,13,0,97,13,0,13,
2,1,2012,13,14,0,67,14,0,14,
2,1,2012,14,15,0,28,15,0,15,
2,1,2012,15,16,0,13,16,0,16,
2,1,2012,16,17,0,1,17,0,17,
2,1,2012,17,18,0,0,18,0,18,
2,1,2012,18,19,0,0,19,0,19,
2,1,2012,19,20,0,0,20,0,20,
2,1,2012,20,21,0,0,21,0,21,
2,1,2012,21,22,0,0,22,0,22,
2,1,2012,22,23,0,0,23,0,23,
2,1,2012,23,24,0,0,24,0,24,
3,1,2012,0,1,0,0,1,0,25,
3,1,2012,1,2,0,0,2,0,26,
3,1,2012,2,3,0,0,3,0,27,
3,1,2012,3,4,0,0,4,0,28,
3,1,2012,4,5,0,0,5,0,29,
3,1,2012,5,6,0,0,6,0,30,
3,1,2012,6,7,0,0,7,0,31,
3,1,2012,7,8,0,0,8,0,32,
3,1,2012,8,9,0,3,9,0,33,
3,1,2012,9,10,0,22,10,0,34,
3,1,2012,10,11,0,25,11,0,35,
3,1,2012,11,12,0,31,12,0,36,
3,1,2012,12,13,0,15,13,0,37,
3,1,2012,13,14,0,8,14,0,38,
3,1,2012,14,15,0,2,15,0,39,
3,1,2012,15,16,0,1,16,0,40,
