utc_timestamp,cet_cest_timestamp,DE_50hertz_wind_generation_actual,DE_50hertz_wind_generation_forecast,DE_amprion_wind_generation_actual,DE_amprion_wind_generation_forecast,DE_amprion_wind_onshore_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_generation_forecast,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_wind_generation_actual,DE_transnetbw_wind_generation_forecast,DE_transnetbw_wind_onshore_generation_actual,DK_2_wind_generation_actual
2012-01-01T00:00:00Z,2012-01-01T01:00:00+0100,1359,1793,1548,1219,1548,1816,2076,101,1716,148,68,148,273.9
2012-01-01T01:00:00Z,2012-01-01T02:00:00+0100,1339,1874,1650,1237,1650,2312,2472,100,2212,108,73,108,275.2
2012-01-01T02:00:00Z,2012-01-01T03:00:00+0100,1436,1976,1642,1254,1642,2882,2945,100,2781,134,82,134,307.3
2012-01-01T03:00:00Z,2012-01-01T04:00:00+0100,1708,2113,1710,1282,1710,3162,3376,96,3066,154,84,154,345.1
2012-01-01T04:00:00Z,2012-01-01T05:00:00+0100,1722,2304,1978,1367,1978,3521,3818,96,3425,148,78,148,358.7
2012-01-01T05:00:00Z,2012-01-01T06:00:00+0100,1966,2560,2014,1499,2014,3968,4196,96,3872,139,79,139,407.2
2012-01-01T06:00:00Z,2012-01-01T07:00:00+0100,2236,2889,2180,1663,2180,4109,4512,96,4013,170,84,170,521.2
2012-01-01T07:00:00Z,2012-01-01T08:00:00+0100,2782,3273,2334,1780,2334,4393,4696,96,4297,175,88,175,626.6
2012-01-01T08:00:00Z,2012-01-01T09:00:00+0100,3472,3689,2286,2001,2286,4641,4782,100,4541,180,92,180,621.8
2012-01-01T09:00:00Z,2012-01-01T10:00:00+0100,3796,4093,2031,2120,2031,4727,5237,101,4626,242,94,242,590.6
2012-01-01T10:00:00Z,2012-01-01T11:00:00+0100,3979,4437,1917,2122,1917,4407,5259,100,4306,194,95,194,579.8
2012-01-01T11:00:00Z,2012-01-01T12:00:00+0100,3572,4718,1717,2187,1717,3948,5165,100,3848,162,97,162,509.4
2012-01-01T12:00:00Z,2012-01-01T13:00:00+0100,3394,4878,1677,1938,1677,3510,4972,100,3410,174,98,174,484.4
2012-01-01T13:00:00Z,2012-01-01T14:00:00+0100,3214,4898,1515,1944,1515,3121,4725,99,3022,167,98,167,378.1
2012-01-01T14:00:00Z,2012-01-01T15:00:00+0100,3080,4796,1569,1872,1569,2870,4462,101,2769,159,94,159,393.1
2012-01-01T15:00:00Z,2012-01-01T16:00:00+0100,2863,4623,1764,2064,1764,2481,3805,101,2380,157,90,157,322.1
2012-01-01T16:00:00Z,2012-01-01T17:00:00+0100,2775,4421,2133,2174,2133,2585,3984,102,2484,262,90,262,218.9
2012-01-01T17:00:00Z,2012-01-01T18:00:00+0100,2796,4211,2787,2316,2787,2773,4332,96,2677,228,85,228,379.4
2012-01-01T18:00:00Z,2012-01-01T19:00:00+0100,3052,4066,3425,2229,3425,3184,4734,99,3085,136,81,136,456
2012-01-01T19:00:00Z,2012-01-01T20:00:00+0100,3454,3988,3744,2089,3744,3823,5230,94,3728,220,83,220,497.3
2012-01-01T20:00:00Z,2012-01-01T21:00:00+0100,4116,3941,3937,2049,3937,4869,5690,70,4799,186,84,186,504.5
2012-01-01T21:00:00Z,2012-01-01T22:00:00+0100,5089,3978,4029,2121,4029,6068,6021,61,6007,186,84,186,483.3
2012-01-01T22:00:00Z,2012-01-01T23:00:00+0100,5801,4098,4000,2135,4000,5902,7605,64,5837,192,79,192,489.5
2012-01-01T23:00:00Z,2012-01-02T00:00:00+0100,6528,5396,3758,2110,3758,5338,7910,89,5248,158,133,158,525.6
,,,,,,,,,,,,,,
2012-01-02T00:00:00Z,2012-01-02T01:00:00+0100,7574,5844,3161,1897,3161,4884,7674,91,4793,150,128,150,539.8
2012-01-02T01:00:00Z,2012-01-02T02:00:00+0100,7869,6252,2246,1769,2246,4850,6964,94,4756,196,121,196,501
2012-01-02T02:00:00Z,2012-01-02T03:00:00+0100,8009,6531,1832,1779,1832,4516,6183,93,4422,191,119,191,364.2
2012-01-02T03:00:00Z,2012-01-02T04:00:00+0100,7466,6581,1570,1774,1570,3935,5494,81,3854,184,118,184,324.8
2012-01-02T04:00:00Z,2012-01-02T05:00:00+0100,6289,6408,1578,1782,1578,3378,4044,76,3302,170,117,170,467.6
2012-01-02T05:00:00Z,2012-01-02T06:00:00+0100,5269,6129,1297,1760,1297,2751,3721,69,2682,172,113,172,550.1
2012-01-02T06:00:00Z,2012-01-02T07:00:00+0100,4238,5779,1048,1662,1048,2122,3441,63,2058,180,107,180,460.9
2012-01-02T07:00:00Z,2012-01-02T08:00:00+0100,2830,5336,706,1633,706,1886,3200,60,1826,247,104,247,442.5
2012-01-02T08:00:00Z,2012-01-02T09:00:00+0100,1949,4806,532,1659,532,1832,2988,48,1785,277,102,277,349.5
2012-01-02T09:00:00Z,2012-01-02T10:00:00+0100,1473,4277,904,1696,904,1878,2827,55,1823,303,98,303,333.4
2012-01-02T10:00:00Z,2012-01-02T11:00:00+0100,1455,3926,923,1747,923,1966,2378,73,1894,248,98,248,390.5
2012-01-02T11:00:00Z,2012-01-02T12:00:00+0100,1299,3687,1284,1828,1284,2278,2370,87,2192,238,110,238,302.5
2012-01-02T12:00:00Z,2012-01-02T13:00:00+0100,1381,3477,1508,1908,1508,2452,2368,95,2357,244,119,244,234.8
2012-01-02T13:00:00Z,2012-01-02T14:00:00+0100,1380,3343,1344,1960,1344,2689,2386,99,2590,240,98,240,190.7
2012-01-02T14:00:00Z,2012-01-02T15:00:00+0100,1825,3243,1616,1970,1616,2617,2411,92,2525,199,78,199,186.9
2012-01-02T15:00:00Z,2012-01-02T16:00:00+0100,2166,3159,1752,1969,1752,2733,2494,100,2632,177,74,177,199.7
2012-01-02T16:00:00Z,2012-01-02T17:00:00+0100,2342,3171,1412,1995,1412,3037,2752,101,2936,156,82,156,215.4
2012-01-02T17:00:00Z,2012-01-02T18:00:00+0100,2565,3307,1610,1968,1610,3377,3003,101,3276,131,88,131,253.8
2012-01-02T18:00:00Z,2012-01-02T19:00:00+0100,2858,3420,1781,2001,1781,3782,3285,101,3681,137,85,137,321.9
2012-01-02T19:00:00Z,2012-01-02T20:00:00+0100,3402,3540,1586,2035,1586,4054,3599,101,3952,120,84,120,400
2012-01-02T20:00:00Z,2012-01-02T21:00:00+0100,3250,3666,1537,2145,1537,4356,3906,101,4255,120,84,120,506.7
2012-01-02T21:00:00Z,2012-01-02T22:00:00+0100,3215,3782,1613,2199,1613,4355,4166,101,4254,134,80,134,500
2012-01-02T22:00:00Z,2012-01-02T23:00:00+0100,3780,3929,1694,2287,1694,4458,4567,99,4359,86,77,86,510
2012-01-02T23:00:00Z,2012-01-03T00:00:00+0100,3910,3304,1878,1497,1878,4535,4670,100,4434,102,67,102,497.5
2012-01-03T00:00:00Z,2012-01-03T01:00:00+0100,4052,3574,1879,1610,1879,4710,4885,100,4610,85,65,85,551.7
2012-01-03T01:00:00Z,2012-01-03T02:00:00+0100,4160,3786,1890,1738,1890,5187,5152,101,5086,59,64,59,584.7
2012-01-03T02:00:00Z,2012-01-03T03:00:00+0100,3886,3964,2156,1801,2156,5576,5444,101,5475,98,62,98,629.3
2012-01-03T03:00:00Z,2012-01-03T04:00:00+0100,4422,4147,2538,1867,2538,5962,5820,101,5861,164,65,164,667.9
2012-01-03T04:00:00Z,2012-01-03T05:00:00+0100,4985,4325,3214,2009,3214,6242,6145,100,6141,106,71,106,684.4
2012-01-03T05:00:00Z,2012-01-03T06:00:00+0100,5395,4535,3766,2295,3766,6760,6514,101,6659,137,81,137,715.4
2012-01-03T06:00:00Z,2012-01-03T07:00:00+0100,6295,4830,3807,2637,3807,7400,6996,100,7300,159,86,159,717.4
2012-01-03T07:00:00Z,2012-01-03T08:00:00+0100,6836,5179,4175,3003,4175,8078,7597,81,7997,188,90,188,727.1
2012-01-03T08:00:00Z,2012-01-03T09:00:00+0100,6870,5555,4240,3441,4240,8672,8222,62,8610,201,99,201,742.4
2012-01-03T09:00:00Z,2012-01-03T10:00:00+0100,7637,6048,4339,3788,4339,9076,9103,56,9019,190,104,190,777.8
2012-01-03T10:00:00Z,2012-01-03T11:00:00+0100,8465,6728,4213,4014,4213,9321,9362,56,9265,180,110,180,809.7
2012-01-03T11:00:00Z,2012-01-03T12:00:00+0100,9030,7526,4280,4056,4280,9410,9492,48,9362,196,115,196,846
2012-01-03T12:00:00Z,2012-01-03T13:00:00+0100,9376,8281,4372,4085,4372,9500,9532,30,9470,179,121,179,887.5
2012-01-03T13:00:00Z,2012-01-03T14:00:00+0100,9518,8886,4380,3983,4380,9631,9586,33,9598,230,132,230,889.7
2012-01-03T14:00:00Z,2012-01-03T15:00:00+0100,9405,9322,4523,4014,4523,9639,9639,74,9565,270,148,270,895.5
2012-01-03T15:00:00Z,2012-01-03T16:00:00+0100,9576,9553,4477,4011,4477,9715,9666,96,9619,254,166,254,898.2
2012-01-03T16:00:00Z,2012-01-03T17:00:00+0100,9792,9646,4384,4027,4384,9203,9658,86,9117,258,180,258,897.3
2012-01-03T17:00:00Z,2012-01-03T18:00:00+0100,9705,9695,4358,4047,4358,9265,9717,64,9201,288,191,288,879.3
2012-01-03T18:00:00Z,2012-01-03T19:00:00+0100,9032,9728,4142,4096,4142,9332,9758,57,9275,236,198,236,846.7
2012-01-03T19:00:00Z,2012-01-03T20:00:00+0100,9032,9758,3670,3952,3670,9208,9656,39,9169,247,206,247,863.8
2012-01-03T20:00:00Z,2012-01-03T21:00:00+0100,9094,9759,3690,3699,3690,9028,9480,30,8998,249,211,249,894.2
2012-01-03T21:00:00Z,2012-01-03T22:00:00+0100,8878,9682,3632,3585,3632,9106,9346,30,9076,240,212,240,887.2
2012-01-03T22:00:00Z,2012-01-03T23:00:00+0100,8477,9513,3306,3458,3306,9049,9613,30,9019,261,206,261,797.2
2012-01-03T23:00:00Z,2012-01-04T00:00:00+0100,8443,9159,3007,3347,3007,8900,9527,34,8865,224,194,224,863.7
2012-01-04T00:00:00Z,2012-01-04T01:00:00+0100,8332,8861,2820,3249,2820,8606,9386,46,8560,237,161,237,798.2
2012-01-04T01:00:00Z,2012-01-04T02:00:00+0100,7674,8585,2878,3271,2878,8567,9176,66,8500,254,154,254,859.2
2012-01-04T02:00:00Z,2012-01-04T03:00:00+0100,7146,8407,2989,3341,2989,8481,8992,76,8404,203,141,203,856.5
2012-01-04T03:00:00Z,2012-01-04T04:00:00+0100,6896,8328,2957,3384,2957,8217,8860,76,8141,220,121,220,859
2012-01-04T04:00:00Z,2012-01-04T05:00:00+0100,6894,8336,3222,3357,3222,7868,8780,83,7785,195,108,195,858.4
2012-01-04T05:00:00Z,2012-01-04T06:00:00+0100,7012,8416,3426,3349,3426,7580,8680,86,7494,176,104,176,866
2012-01-04T06:00:00Z,2012-01-04T07:00:00+0100,7604,8554,3636,3260,3636,7419,8590,82,7337,200,109,200,870.3
2012-01-04T07:00:00Z,2012-01-04T08:00:00+0100,8341,8739,3160,3058,3160,7212,8598,78,7134,184,109,184,869.7
2012-01-04T08:00:00Z,2012-01-04T09:00:00+0100,8672,8915,3195,2970,3195,7601,8666,82,7520,208,112,208,858.5
2012-01-04T09:00:00Z,2012-01-04T10:00:00+0100,8925,9101,3132,2950,3132,7988,8779,86,7902,186,118,186,866.5
2012-01-04T10:00:00Z,2012-01-04T11:00:00+0100,9324,9259,3206,2992,3206,8328,8962,85,8244,210,116,210,872.2
2012-01-04T11:00:00Z,2012-01-04T12:00:00+0100,9671,9349,3178,3001,3178,8530,9106,89,8440,223,114,223,865.2
2012-01-04T12:00:00Z,2012-01-04T13:00:00+0100,9627,9331,3080,3041,3080,8503,9126,87,8416,187,112,187,858.8
2012-01-04T13:00:00Z,2012-01-04T14:00:00+0100,9524,9256,2953,3084,2953,8350,9064,89,8260,182,106,182,837.7
2012-01-04T14:00:00Z,2012-01-04T15:00:00+0100,9372,9176,3035,3102,3035,8428,8918,84,8344,139,101,139,848.5
2012-01-04T15:00:00Z,2012-01-04T16:00:00+0100,9177,9071,3035,3123,3035,8631,8844,84,8547,140,99,140,847.1
2012-01-04T16:00:00Z,2012-01-04T17:00:00+0100,9097,8984,3230,3080,3230,8846,8900,86,8759,175,107,175,830.1
2012-01-04T17:00:00Z,2012-01-04T18:00:00+0100,9218,8965,3456,3089,3456,9007,9052,86,8920,154,112,154,813
2012-01-04T18:00:00Z,2012-01-04T19:00:00+0100,9090,8996,3878,3205,3878,9265,9228,84,9181,181,119,181,813.1
2012-01-04T19:00:00Z,2012-01-04T20:00:00+0100,9424,9032,4108,3335,4108,9325,9408,74,9250,234,132,234,839.2
2012-01-04T20:00:00Z,2012-01-04T21:00:00+0100,9715,9039,4123,3579,4123,9364,9528,56,9308,259,137,259,856.1
2012-01-04T21:00:00Z,2012-01-04T22:00:00+0100,10002,9046,4296,3722,4296,9341,9568,51,9290,265,140,265,849.4
2012-01-04T22:00:00Z,2012-01-04T23:00:00+0100,9360,9049,4431,3840,4431,9118,9656,51,9068,257,145,257,854.5
2012-01-04T23:00:00Z,2012-01-05T00:00:00+0100,9346,9269,4385,4069,4385,9002,9644,51,8952,305,194,305,867.6
2012-01-05T00:00:00Z,2012-01-05T01:00:00+0100,9199,9359,4364,4115,4364,8858,9634,32,8826,299,214,299,861.1
2012-01-05T01:00:00Z,2012-01-05T02:00:00+0100,9419,9470,4154,4163,4154,8972,9654,25,8947,284,229,284,855.7
2012-01-05T02:00:00Z,2012-01-05T03:00:00+0100,9600,9542,4210,4188,4210,9047,9650,25,9022,273,237,273,845.1
2012-01-05T03:00:00Z,2012-01-05T04:00:00+0100,9703,9574,4374,4099,4374,8920,9636,30,8890,268,237,268,847.7
2012-01-05T04:00:00Z,2012-01-05T05:00:00+0100,9771,9604,4186,4112,4186,8889,9573,62,8827,266,240,266,823.3
2012-01-05T05:00:00Z,2012-01-05T06:00:00+0100,9685,9640,3912,4065,3912,8882,9664,68,8813,265,241,265,815.6
2012-01-05T06:00:00Z,2012-01-05T07:00:00+0100,9641,9653,4129,4003,4129,8664,9666,67,8597,246,238,246,851.9
2012-01-05T07:00:00Z,2012-01-05T08:00:00+0100,9302,9597,4042,3840,4042,8455,9588,58,8398,267,233,267,859.5
2012-01-05T08:00:00Z,2012-01-05T09:00:00+0100,8803,9482,4194,3759,4194,8356,9534,52,8303,258,233,258,865.6
2012-01-05T09:00:00Z,2012-01-05T10:00:00+0100,8649,9349,4041,3719,4041,8254,9468,33,8221,256,232,256,825.6
2012-01-05T10:00:00Z,2012-01-05T11:00:00+0100,8432,9143,4167,3666,4167,8399,9349,24,8376,251,229,251,826
2012-01-05T11:00:00Z,2012-01-05T12:00:00+0100,8097,8902,3951,3598,3951,8435,9393,25,8410,279,228,279,800.6
2012-01-05T12:00:00Z,2012-01-05T13:00:00+0100,7864,8666,3928,3564,3928,8370,9390,30,8340,232,226,232,705.3
2012-01-05T13:00:00Z,2012-01-05T14:00:00+0100,7916,8538,3850,3482,3850,8228,9333,30,8198,201,220,201,685.8
2012-01-05T14:00:00Z,2012-01-05T15:00:00+0100,8220,8533,3719,3425,3719,8188,9279,30,8158,174,216,174,615
2012-01-05T15:00:00Z,2012-01-05T16:00:00+0100,8498,8598,3760,3231,3760,8375,9196,30,8345,185,206,185,680.6
2012-01-05T16:00:00Z,2012-01-05T17:00:00+0100,9041,8693,3662,3283,3662,8538,9322,32,8507,192,196,192,725.1
2012-01-05T17:00:00Z,2012-01-05T18:00:00+0100,9303,8776,3648,3259,3648,9017,9465,32,8985,212,177,212,737
2012-01-05T18:00:00Z,2012-01-05T19:00:00+0100,9795,8883,3380,3217,3380,8895,9558,35,8860,174,162,174,767.4
2012-01-05T19:00:00Z,2012-01-05T20:00:00+0100,10003,9053,3663,3169,3663,8869,9523,35,8834,209,161,209,782
2012-01-05T20:00:00Z,2012-01-05T21:00:00+0100,10008,9224,3467,3135,3467,8695,9450,35,8660,212,153,212,775.4
2012-01-05T21:00:00Z,2012-01-05T22:00:00+0100,9827,9378,3395,3152,3395,8296,9305,35,8261,194,147,194,762.9
2012-01-05T22:00:00Z,2012-01-05T23:00:00+0100,9694,9457,3322,3047,3322,8066,8740,35,8032,184,154,184,784.2
2012-01-05T23:00:00Z,2012-01-06T00:00:00+0100,9432,9502,3364,2877,3364,7800,8264,36,7764,218,150,218,785.9
2012-01-06T00:00:00Z,2012-01-06T01:00:00+0100,9322,9436,3269,2835,3269,7211,7747,43,7168,206,150,206,756.7
2012-01-06T01:00:00Z,2012-01-06T02:00:00+0100,9087,9207,3298,2757,3298,6840,7330,55,6785,206,147,206,751
2012-01-06T02:00:00Z,2012-01-06T03:00:00+0100,8726,8887,3069,2756,3069,6416,6918,58,6358,206,146,206,747.2
2012-01-06T03:00:00Z,2012-01-06T04:00:00+0100,8133,8488,3194,2777,3194,6092,6293,66,6025,174,143,174,749.1
2012-01-06T04:00:00Z,2012-01-06T05:00:00+0100,7468,8041,2965,2736,2965,5572,5878,75,5498,187,138,187,738.2
2012-01-06T05:00:00Z,2012-01-06T06:00:00+0100,7508,7602,3110,2617,3110,5104,5495,75,5030,196,138,196,689.7
2012-01-06T06:00:00Z,2012-01-06T07:00:00+0100,7007,7188,2917,2512,2917,4532,5103,75,4457,188,132,188,580.6
2012-01-06T07:00:00Z,2012-01-06T08:00:00+0100,6678,6804,2858,2299,2858,4118,4697,76,4043,156,120,156,428.6
2012-01-06T08:00:00Z,2012-01-06T09:00:00+0100,5908,6441,2780,2250,2780,3707,4349,79,3628,165,120,165,420.5
2012-01-06T09:00:00Z,2012-01-06T10:00:00+0100,5212,6165,2425,2108,2425,3060,4156,75,2985,182,120,182,351.3
2012-01-06T10:00:00Z,2012-01-06T11:00:00+0100,4999,6023,2150,1990,2150,2803,3806,79,2724,184,119,184,388
2012-01-06T11:00:00Z,2012-01-06T12:00:00+0100,5074,5907,2217,1882,2217,2696,3834,79,2618,169,115,169,314.1
2012-01-06T12:00:00Z,2012-01-06T13:00:00+0100,4488,5662,2197,1859,2197,2888,3913,86,2803,126,112,126,241.3
2012-01-06T13:00:00Z,2012-01-06T14:00:00+0100,4156,5227,1899,1739,1899,3272,3984,86,3186,93,100,93,248.4
2012-01-06T14:00:00Z,2012-01-06T15:00:00+0100,3777,4699,1419,1712,1419,2942,3967,83,2859,76,92,76,244
2012-01-06T15:00:00Z,2012-01-06T16:00:00+0100,3274,4206,1326,1490,1326,2824,3349,80,2744,86,85,86,164.7
2012-01-06T16:00:00Z,2012-01-06T17:00:00+0100,2672,3797,1043,1299,1043,3022,3313,82,2940,89,76,89,138.9
2012-01-06T17:00:00Z,2012-01-06T18:00:00+0100,2468,3506,998,1200,998,3188,3296,76,3112,86,72,86,231.3
2012-01-06T18:00:00Z,2012-01-06T19:00:00+0100,3008,3392,1088,1149,1088,3216,3388,81,3135,82,70,82,270.8
2012-01-06T19:00:00Z,2012-01-06T20:00:00+0100,3482,3393,1113,1220,1113,3344,3689,81,3263,82,66,82,333.3
